ID,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6142315,Adcare Hospital of Worcester,107 Lincoln Street,Worcester,01605-2499,MA,,Unable to Find,N/A unable to find,,,,,,,,,
6141500,Anna Jaques Hospital,"25 Highland Avenue, Newburyport, MA-01950",Newburyport,01950-3894,MA,Beth Israel Deaconess Medical Center,Non-Profit,2022,"Combination of counties, zip codes, and places",NA,NA,"Haverhill, Newburyport, Amesbury, Salisbury, Merrimac","Equity; collaboration with community residents and organizations; focus on hardly reached population like people with disabilities, trauma, communities with inequities etc; capacity building. ","Reach out to hardly reached population and more like people impacted with disabilities, communities with inequities etc.",https://ajh.org/about/community-benefits-needs,https://ajh.org/about/community-benefits-needs,Janel.DAgata-Lynch@bilh.org
6140724,Arbour H. R. I. Hospital,227 Babcock Street,Brookline,02446-6799,MA,"Universal Health Services, Inc.",Unable to Find,N/A unable to find,,,,,,,,,
6140330,Arbour Hospital,49 Robinwood Avenue,Boston,02130-2156,MA,"Universal Health Services, Inc.",Unable to Find,N/A unable to find,,,,,,,,,
6141865,Arbour-Fuller Hospital,200 May Street,Attleboro,02703-5520,MA,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6140065,Athol Hospital,2033 Main Street,Athol,01331-3598,MA,Heywood Healthcare,Non-Profit,2021,List of Places,N/A,N/A,"Qusai Urban city of Gartner, Ashburnham, Orange, Templeton, Westminster, Hubbardston, Erving, New Salem, Petersham, Phillipston, Royalston, Warwick, Wendall
","Social Determinants, Interpersonal Violence & Injury, Wellness & Chronic Disease, Mental Health & Substance Use","Social Determinants, Interpersonal Violence & Injury, Wellness & Chronic Disease, Mental Health & Substance Use",https://www.atholhospital.org/files/dmHTMLFile/heywood-and-athol-hospital-chna-2021---final-report-1.31.22---mary-giannetti-1-1.pdf,https://www.atholhospital.org/files/dmHTMLFile/heywood-and-athol-hospital-2022-2024-community-health-improvement-plan-3-21-2022-.pdf,mary.giannetti@ heywood.org
6141990,Austen Riggs Center,"25 Main Street, Stockbridge, MA 01262",Stockbridge,1262,MA,Riggs-Yale partnership,Non-Profit,2022,List of Counties,Berkshire ,N/A,N/A,Help grown-ups to come to terms suffering from emotional adversities; and make life worth living ; variety of therapeutic and medical services.,Help adults overcome emotional suffering and make life worth living ; variety of therapeutic and medical services etc.,https://www.austenriggs.org/about/history,https://www.austenriggs.org/about/history,library@austenriggs.net
6140990,Baldpate Hospital,83 Baldpate Road,Georgetown,01833-2303,MA,Tara Vista HealthPartners.,For-Profit,N/A unable to find,,,,,,,,,
6141020,Baystate Franklin Medical Center,164 High Street,Greenfield,01301-2613,MA,"Baystate Health, Inc.",Non-Profit,2022,Combination of counties and places,"Franklin, Worcester",N/A,"Ashfield, Athol, Bernardston, Buckland, Charlemont, Colrain, Conway, Deerfield, Erving, Gill, Greenfield, Hawley, Heath, Leverett, Leyden, Monroe, Montague, New Salem, Northfield, Orange, Petersham, Phillipston, Rowe, Royalston, Shelburne, Shutesbury, Sunderland, Warwick, Wendell, Whately","Social and Economic Factors or ""Determinants"" that influece health: Housing Needs, Access to Transportation, Healthy Food, and Broadband, Lack of Resources to Meet Basic Needs, Educational Attainment, Violence and Trauma, Enviornmental Exposures and Climate Crisis, Barriers to Health Care Access: Provider Scarcity, Decrease in Health Services Available Locally, Insurance, Costs of Accessfing Care, Transportation, Lack of Care Coordination, Need for Culturally Sensitive Care, Health Literacy and Language Barriers, Health Behaviors and Outcomes: Youth Mental Health, Mental Health and Substance Use, Chronic Diseases and Other Health Outcomes. ","Housing Needs, Provider Scarcity, Youth Mental Health",https://www.baystatehealth.org/about-us/community-programs/community-benefits/community-health-needs-assessment,https://www.baystatehealth.org/about-us/community-programs/community-benefits/community-health-needs-assessment,community@baystatehealth.org
6141955,Baystate Medical Center,759 Chestnut Street,Springfield,01199-0001,MA,"Baystate Health, Inc.",Non-Profit,2022,Combination of counties and places,Hampden,N/A,"South Hadley, Granby, Holyoke, Chicopee, West Springfield","Social and Economic Determinants that Impact Health: Lack of Resources to Meet Basic Needs, Workforce Development, Violence and Trauma, Enviornmental Exposures and Climate Crisis, Brriers to Accessing Quality Health Care: Availability of Providers and Telehealth, Other Barriers, Health Conditions and Behaviors: Youth Mental Health, Mental Health and Substance Use, Chronic Disease and Other Health Outcomes.","Lack of Resources to Meet Basic Needs, Workforce Development, Violence and Trauma, Youth Mental Health. ",https://www.baystatehealth.org/about-us/community-programs/community-benefits/community-health-needs-assessment,https://www.baystatehealth.org/about-us/community-programs/community-benefits/community-health-needs-assessment,community@baystatehealth.org
6142200,Baystate Noble Hospital,115 West Silver Street,Westfield,01085-3628,MA,"Baystate Health, Inc.",Non-Profit,2022,Combination of counties and places,Hampden ,N/A,"Huntington, Blandford, Chester, Feeding Hills of Agawam, Granville, Russell, Southwick, Westfield, West Springfield, Woronoco","social environment (interpersonal, institutional, structural, historical discrimination), housing needs, lack of access to transportation and healthy food, lack of resources to meet basic needs, need for financial health, educational needs, violence and violence related trauma, health literacy and language barriers, obesity, CVD, diabetes, Asthma, Cancer, physical activity, infant and perinatal health, teen pregnancy, alzheumer's disease and dementia","Access to Basic Needs, Access to and Availability of Providers, Youth Mental Health, Mental Health and Substance Use. ",https://www.baystatehealth.org/about-us/community-programs/community-benefits/community-health-needs-assessment,https://www.baystatehealth.org/about-us/community-programs/community-benefits/community-health-needs-assessment,community@baystatehealth.org
