ID,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6810122,Advanced Care Hospital of Montana,3528 Gabel Road,Billings,59102-7307,MT,"Ernest Health, Inc.",Unable to Find,N/A unable to find,,,,,,,,,
6810135,Barrett Hospital & HealthCare,600 Mt Highway 91 South,Dillon,59725-7379,MT,HealthTech Management Services,Non-profit,2022,"Combination of counties, zip codes, and places","Beaverhead, Madison","59725, 59749, 59739, 59754, 59736, 59710, 59746, 59761, 59724, 59732, 59762,59743","Dillon, Sheridan, Lima, Twin Bridges, Jackson, Alder, Polaris, Wiosdom, Dell, Glen, Wise River, Melrose","Alcohol/substance abuse; Cancer; Overweight/obesity; Depression/anxiety/mental illness; Lack of mental health services; Tobacco use (cigarettes/cigars, vaping, smokeless); Heart disease; Work/economic stress; Diabetes; Suicide; Social isolation/loneliness; Alzheimer's/dementia; Lack of exercise; Child abuse/neglect; Bullying; Respiratory issues/illness; Recreation related accidents/injuries; Domestic violence; Homelessness; Lack of healthcare education; Motor vehicle accidents; Lack of access to healthcare; Lack of dental care; Stroke; Hunger; Work related accidents/injuries","Mental and behavioral health, Access to care, Social determinants of health",https://www.barretthospital.org/_files/ugd/317b8b_67136a545fbe478e8a740e8d29c08c69.pdf,https://www.barretthospital.org/_files/ugd/317b8b_684917b065fe4770bce39ac3dbbac7f6.pdf,Barrett Hospital & Healthcare's Chief Quality & Compliance Officer: compliance@barretthospital.org; Beaverhead County Public Health Department's Director; shansen@beaverheadcounty.org
6810477,Beartooth Billings Clinic,2525 North Broadway Avenue,Red Lodge,59068-9222,MT,,Non-profit,2022,List of Zip Codes,N/A,"59068,59070,59014,59008,59041,59007,
59001,59071,59029,59013, 59026",N/A,"Behavioral Health, Access to Health Care Services, Chronic Disease Prevention & Management ","Behavioral Health,  Access to Health Care Services, Chronic Disease Prevention & Management",https://www.beartoothbillingsclinic.org/wp-content/uploads/2023/02/BBCImplementationPlanReportAPPROVED_2022.pdf,https://www.beartoothbillingsclinic.org/wp-content/uploads/2023/02/BBCImplementationPlanReportAPPROVED_2022.pdf,N/A
6810003,Benefis Health System,1101 26th Street South,Great Falls,59405-5104,MT,Benefis Health System,Non-profit,2019,Combination of counties and places,Cascade,N/A,"Great Falls,  Belt, Cascade, Neihart","Illegal drug use, child abuse & neglect, lack of access to mental healthcare,  alcohol abuse, overweight/obesity, behavioral/mental health issues","Child abuse & neglect, substance abuse, access to care, healthy weight",https://www.benefis.org/media/file/2019-cascade-county-health-needs-assessment-v2.pdf,https://www.benefis.org/media/file/CHIP-2020-2022.pdf,N/A
6810095,Benefis Teton Medical Center,915 4th Street North West,Choteau,59422-9123,MT,Benefis Health System,Non-profit,2023,"Combination of counties, zip codes, and places",Teton,30099,Choteau,"Obesity or Weight Gain, Tobacco, Mental Health, Drug and Alcohol Abuse, Diabetes, Heart Disease, Cancer, Nutrition and Physical Activity, Child Abuse/Neglect","Access to Speciality and Pediatric Care, Mental Health, Access to Healthcare and Life Improvement Resources, Community Health",https://www.benefis.org/app/files/public/0221895d-22f1-466b-b70e-b9c12e5810f1/CHNA%20Benefis%20Teton%20Medical%20Center.pdf,https://www.benefis.org/app/files/public/506a73dd-3cdb-43d0-9c8a-1fafdfd1d55f/PDFs/Benefis%20TMC_CommunityHealthImprovementPlan.pdf,N/A
6810272,Big Horn County Memorial Hospital,17 North Miles Avenue,Hardin,59034-2323,MT,Big Horn Hospital Association,For-Profit,2022,"Combination of counties, zip codes, and places",Hardin,"59034, 59022 , 59050, 59043, 59035, 59024","Hardin, Crow Agency, Lodge Grass, Lame Deer, Fort Smith, Custer","Access to healthcare services, Chronic Disease Prevention, Mental and Behavioral, Socioeconomic and Health Measures","Aging in place, chronic disease management, transportation",https://www.bighornhospital.org/wp-content/uploads/2022/12/BHHA_2022_FINAL-CHNA-Report-2.pdf,https://www.bighornhospital.org/wp-content/uploads/2022/10/2022-BHHA-Implementation-Plan.pdf,N/A
6810005,Big Sandy Medical Center,166 Montana Avenue East,59520-8474,59520-8474,MT,,For-Profit,2021,List of Places,N/A,N/A,"Big Sandy; Box Elder/Rocky Boy; Loma; Rudyard to Chinook including Harve, Chinock south to Winifred,Fort Benton/Geraldine ","Education, Mental Health Services, Additional Services, Physical Activity, Aging Services, Chronic Disease, Daycare, Cancer Prevelance ","Education, Mental Health Services, Additional Services, Physical Activity, Aging Services, Chronic Disease, Daycare, Cancer Prevelance ",https://bsmc.org/files/2023/06/2021_CHNA_and_CHIP.pdf,https://bsmc.org/files/2023/06/2021_CHNA_and_CHIP.pdf,N/A
6810398,Big Sky Medical Center,334 Town Center Avenue,Big Sky,59716,MT,,Non-profit,2020,List of Zip Codes,N/A,"59716, 59730, 59758",N/A,"Access to healthcare services; Cancer; Heart disease & stroke; Injury & violence; Mental health; Nutrition, physical activity & weight; Oral health; Substance abuse","Access to healthcare services; Cancer; Heart disease & stroke; Injury & violence; Mental health; Nutrition, physical activity & weight; Oral health; Substance abuse",https://www.healthygallatin.org/wp-content/uploads/2020/12/Final-Big-Sky-2020-CHNA-Report.pdf,https://www.healthygallatin.org/wp-content/uploads/2020/12/Final-Big-Sky-2020-CHNA-Report.pdf,N/A
6810020,Billings Clinic,2800 10th Avenue North,Billings,59101-0703,MT,,Non-profit,2023,List of Counties,Yellowstone,N/A,N/A,"Access to healthcare services; Cancer; Diabetes; Heart disease & stroke; Infant health; Injury & violence; Mental health; Nutriton, physical activity & weight; Potentially disablig conditions; Respiratory diseases; Sexual health; Substance abuse; Tobacco use","Access to healthcare services; Cancer; Diabetes; Heart disease & stroke; Infant health Injury & violence; Mental health; Nutriton, physical activity & weight; Potentially disablig conditions; Respiratory diseases; Sexual health; Substance abuse; Tobacco use",https://www.billingsclinic.com/app/files/public/309799de-f98c-4977-b8dc-f51b10d7d168/2023-PRC-CHNA-Report-Yellowstone-County-MT-WEB.pdf,https://www.billingsclinic.com/app/files/public/fbf7c4e7-f7ee-456f-8c82-70f785998d10/Report_2023CHNA_ExecutiveSummary_Final_20230103-WEB.pdf,info@hbdyc.org
6810050,Blackfeet Community Hospital,760 New Hospital Circle,Saint Mary,59417-0760,MT,U. S. Indian Health Service,Unable to Find,N/A unable to find,,,,,,,,,
