ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6040370,Ashford Presbyterian Community Hospital,1451 Avenue Ashford,San Juan,00907-1511,PR,,Non-Profit,N/A unable to find,,,,,,,,,
6040155,Auxilio Mutuo Hospital,Ponce De Leon Avenue,San Juan,00918-1000,PR,,Non-Profit,2018,List of Places,N/A,N/A,"San Juan, Guaynabo, Carolina, Trujillo Alto","Diabetes, Cancer, High Blood Pressure, Mental health, Respiratory diseases. Asthma, Obesity, Allergies, Heart diseases, Cholesterol, Endometriosis, Renal disease","Diabetes, Cancer, High Blood Pressure, Mental health, Respiratory diseases. Asthma, Obesity, Allergies, Heart diseases, Cholesterol, Endometriosis, Renal disease",https://www.auxiliomutuo.com/uploads/Estudio-Necesidades-Salud-HAM.PDF,N/A,N/A
6040220,Bella Vista Hospital,Highway 349 Km 2.7,Mayaguez,680,PR,,Non-Profit,N/A unable to find,,,,,,,,,
6040006,Cardiovascular Center of Puerto Rico and the Caribbean,Americo Miranda Centro Medico,San Juan,936,PR,Puerto Rico Department of Health,Unable to Find,N/A unable to find,,,,,,,,,
6048006,Caribbean Medical Center,151 Avenue Osvaldo Molina,Fajardo,00738-4013,PR,,Unable to Find,N/A unable to find,,,,,,,,,
6040070,Castaner General Hospital,"KM 64-2, Route 135",Castaner,631,PR,,Non-Profit,N/A unable to find,,,,,,,,,
6048007,Centro De Salud Conductual Menonita-CIMA,Carr Estatal 14 Interior Sargento Gerardo Santiago,Aibonito,705,PR,,Unable to Find,N/A unable to find,,,,,,,,,
6040115,Doctor's Center of Bayamon,Extension Hermanas Davila,Bayamon,960,PR,,Unable to Find,N/A unable to find,,,,,,,,,
6040325,Doctors Center,KM 47-7,Manati,674,PR,,Unable to Find,N/A unable to find,,,,,,,,,
6040420,Doctors' Center Hospital San Juan,1395 San Rafael Street,San Juan,00909-2518,PR,,Unable to Find,N/A unable to find,,,,,,,,,
6040230,Dr. Pila's Hospital,2435 Las Américas Ave,Ponce,731,PR,Metro Pavia Health System,Non-Profit,N/A unable to find,,,,,,,,,
6040290,Dr. Ramon E. Betances Hospital-Mayaguez Medical Center Branch,410 Hostos Avenue,Mayaguez,00680-1501,PR,,Unable to Find,N/A unable to find,,,,,,,,,
6040129,Encompass Health Rehabilitation Hospital of Manati,"Carretera 2, Kilometro 47 7",Manati,674,PR,Encompass Health Corporation,Unable to Find,N/A unable to find,,,,,,,,,
6040009,Encompass Health Rehabilitation Hospital of San Juan,"University Hospital, 3rd Floor",San Juan,921,PR,Encompass Health Corporation,Unable to Find,N/A unable to find,,,,,,,,,
6040475,First Hospital Panamericano,State Road 787 KM 1 5,Cidra,739,PR,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6040004,HIMA San Pablo Caguas,Avenida Munoz Marin,Caguas,726,PR,HIMA Health,For-Profit,N/A unable to find,,,,,,,,,
6040005,Hospital Buen Samaritano,Carr #2 Km 141-1 Ave Severiano Cuevas,Aguadilla,603,PR,"Good Samaritan Hospital, Inc",Non-Profit,N/A unable to find,,,,,,,,,
