ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Hospital Funding Type/Non-Profit Status,CHNA_Year,Service_Area_Type,Service_Area_Zip,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6740034,Abilene Regional Medical Center,6250 US Highway 83,Abilene,79606-5299,TX,"Community Health Systems, Inc.",Non-Profit,2022,List of Counties,Taylor,N/A,N/A,"Affordable prescription drugs, Counseling services for mental health issues (depression, anxiety, and others) for adults, Counseling services for mental health issues (depression, anxiety, and others) for adolescents/children, Affordable quality childcare, Coordination of patient care between the hospital and other clinics; private doctors; or other health service providers, Affordable healthcare services for individuals or families with low income, Crisis or emergency care programs for mental health, Services to help people learn about and enroll in programs that provide financial support for people needing healthcare, Drug and other substance abuse early intervention services, Support services for children with developmental disabilities, Drug and other substance abuse treatment services, Longâ€term care or dementia care for seniors, Special care for people with chronic diseases (diabetes, cancer, asthma, and others), Drug and other substance abuse education and prevention, Programs to help recovering drug and other substance use disorder patients stay healthy, Support services for adults with developmental disabilities, Social services (other than healthcare) for people experiencing homelessness, Healthcare services for people experiencing homelessness, Healthcare services for seniors, Services or education to help reduce teen pregnancy, Education and job training, Primary care services (such as a family doctor or other provider of routine care), Women's health services, Secure sources for affordable nutritious food, Programs for obesity prevention; awareness; and care, Crisis or emergency care services for medical issues, Parenting classes for the new Mom or the new Dad, Programs for heart health or cardiovascular health, Transportation services for people needing to go to doctorâ€™s appointments or the hospital, General public transportation, Programs for diabetes prevention; awareness; and care, Emergency care and trauma services, HIV/AIDS education and screening, HIV/AIDS treatment services","Access to Appropriate Care, Awareness; Prevention; and Screening, Crisis; Emergency; and Behavioral Services",https://www.hendrickhealth.org/documents/CHNA/Hendrick-Health-Abilene-Market-CHNA-Report-08-08-22.pdf,https://www.hendrickhealth.org/documents/chna/Hendrick-Health-Abilene-Market-Implementation-Plan-2023-2025.pdf,N/A
6741079,Accel Rehabilitation Hospital of Plano,"2301 Marsh Lane, #200",Plano,75093-8497,TX,,For-Profit,N/A unable to find,,,,,,,,,
6741063,AD Hospital East,12950 East Freeway,Houston,77015-5710,TX,,Unable to Find,N/A unable to find,,,,,,,,,
6740946,Advanced Diagnostics Hospital,12950 East Freeway,Houston,77015-5710,TX,,For-Profit,N/A unable to find,,,,,,,,,
6742145,AdventHealth Central Texas,2201 South Clear Creek Road,Killeen,76549-4110,TX,AdventHealth,Non-Profit,2022,List of Counties," Lampasas, Bell, Burnet",N/A,N/A,"Physical Inactivity, Mental Health, Poverty, Diabetes, Transportation, Obesity/overweight, Food Insecurity, Smoking/Asthma","Nutrition and Healthy Eating (Improve health by promoting healthy eating; access to whole foods; and food preparation skills), Mental Health (Increase access to mental health services for youth and reduce stigma through education), Preventative Care and Screenings (Provide health screening to raise awareness of health indicators that can be addressed to prevent and decrease likelihood of disease)",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-central-texas.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth-central-texas-2023-2025-community-health-plan.pdf,NA
6742210,AdventHealth Rollins Brook,608 North Key Avenue,Lampasas,76550-1106,TX,AdventHealth,Non-Profit,2022,Combination of counties and zip codes,"Bell, Coryell, Lampasas ","76522, 76541, 76542, 76543, 76549, 76550, 76539, 76544, 76548",N/A,"Physical Inactivity, Mental Health, Poverty, Diabetes, Transportation, Obesity/overweight, Food Insecurity, Smoking/Asthma","Nutrition and Healthy Eating (Improve health by promoting healthy eating; access to whole foods; and food preparation skills), Mental Health (Increase access to mental health services for youth and reduce stigma through education), Preventative Care and Screenings (Provide health screening to raise awareness of health indicators that can be addressed to prevent and decrease likelihood of disease)",https://www.adventhealth.com/sites/default/files/assets/2022-chna-adventhealth-central-texas.pdf,https://www.adventhealth.com/sites/default/files/assets/adventhealth-rollins-brook-2023-2025-community-health-plan.pdf,N/A
6740323,Allegiance Behavioral Health Center of Plainview,"2601 Dimmit Road, Suite 400",Plainview,79072-1833,TX,Allegiance Health Management,For-Profit,N/A unable to find,,,,,,,,,
6742150,Allegiance Specialty Hospital of Kilgore,1612 South Henderson Boulevard,Kilgore,75662-3594,TX,Allegiance Health Management,For-Profit,N/A unable to find,,,,,,,,,
6741102,Altus Baytown Hospital,1626 West Baker Road,Baytown,77521-2271,TX,,Non-Profit,N/A unable to find,,,,,,,,,
6740100,Amarillo Veterans Affairs Health Care System,6010 West Amarillo Boulevard,Amarillo,79106-1992,TX,Department of Veterans Affairs,Non-Profit,N/A unable to find,,,,,,,,,
