ID,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6870500,Alta View Hospital,9660 South 1300 East,Sandy,84094-3793,UT,"Intermountain Healthcare, Inc.",Non-Profit,2022,"Combination of counties, zip codes, and places",Salt Lake ,"84020, 84070, 84092, 84094","Draper, Sandy","Improve mental well-being, Improve Chronic and Avoidable Health Outcome, Address and Invest in Scocial Determinants of Health","Improve mental well-being, Improve Chronic and Avoidable Health Outcome, Address and Invest in Scocial Determinants of Health",https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chna-2022/intermountain-healthcare-chna-report-2022.ashx,https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chis-2023/alta-view-hospital-2023-chis-report-template.ashx,"Mikelle Moore mikelle.moore@imail.org, Stephanie Croasdell Stokes stephanie.stokes@imail.org"
6870010,American Fork Hospital,170 North 1100 East,American Fork,84003-2096,UT,"Intermountain Healthcare, Inc.",Non-Profit,2022,"Combination of counties, zip codes, and places",Utah ,"84003, 84004, 84005, 84042, 84043, 84045, 84062","American For, Alpine, Eagle Mountain, Lindon, Lehi, Saratoga Springs, Pleasnt Grove","Improve mental well-being, Improve Chronic and Avoidable Health Outcome, Address and Invest in Scocial Determinants of Health","Improve mental well-being, Improve Chronic and Avoidable Health Outcome, Address and Invest in Scocial Determinants of Health",https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chna-2022/intermountain-healthcare-chna-report-2022.ashx,https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chis-2023/american-fork-hospital-2023-chis-report-template.ashx,"Mikelle Moore mikelle.moore@imail.org, Stephanie Croasdell Stokes stephanie.stokes@imail.org"
6870370,Ashley Regional Medical Center,150 West 100 North,Vernal,84078-2036,UT,LifePoint Health,For-Profit,N/A unable to find,,,,,,,,,
6870365,Bear River Valley Hospital,905 North 1000 West,Tremonton,84337-2497,UT,"Intermountain Healthcare, Inc.",Non-Profit,2022,"Combination of counties, zip codes, and places",Box Elder,"84301, 84306, 84307, 84309, 84311, 84312, 84314, 84316, 84330, 84331, 84337, 84340, 84302","Bear River, Collinston, Corinne, Deweyville, Fielding, Garland, Honeyville, Howell, Plymouth, Portage, Tremonton, Willard, Brigham","Improve mental well-being, Improve chronic and avoidable health outcomes, Address and invest in social determinants of health","Improve mental well-being, Improve chronic and avoidable health outcomes, Address and invest in social determinants of health",https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chna-2022/intermountain-healthcare-chna-report-2022.ashx,https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chis-2023/bear-river-valley-hospital-2023-chis-report-template.ashx,"Mikelle Moore: mikelle.moore@imail.org, Stephanie Croasdell Stokes: stephanie.stokes@imail.org"
6870025,Beaver Valley Hospital,1109 North 100 West,Beaver,84713,UT,,Unable to Find,N/A unable to find,,,,,,,,,
6879346,Blue Mountain Hospital,"802 South 200 West, Suite A",Blanding,84511-3910,UT,"Utah Health and Human services, Intermountain Healthcare, and San Juan Public Health ",Non-Profit,2022,"Combination of counties, zip codes, and places",San Juan ,"84511, 84535, 84536, 84512, 84530, 84531, 84533, 84534, 84510, 84511, 81321, 84532, 86033, 86514, 86044, 86535, 86545","Blanding, Monticello, Monument Valley, Bluff, La Sal, Mexican Hat, Lake Powell, Montezuma Creek, Aneth, White Mesa","Improve Coordination of care, Mitigate Healthcare staffing shortages, Improve access to care, Community engagement and education ","Improve Coordination of care, Mitigate Healthcare staffing shortages, Improve access to care, Community engagement and education ",https://www.bmhutah.org/documents/content/Blue-Mountain-Hospital-2022-CHNA.1).pdf,https://www.bmhutah.org/documents/Community-Health-Needs-Assessment-Strategic-Plan-2022-2025.pdf,"Jeremy Lyman: jlyman@bmhutah.org, Cari Spillman: cspillman@bmhutah.org"
6870035,Brigham City Community Hospital,950 South Medical Drive,Brigham City,84302-4724,UT,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6870007,Cache Valley Hospital,2380 North 400 East,North Logan,84341-6000,UT,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6870200,Castleview Hospital,300 North Hospital Drive,Price,84501-4200,`,LifePoint Health,For-Profit,N/A unable to find,,,,,,,,,
6870050,Cedar City Hospital,1303 North Main Street,Cedar City,84721-9746,UT,"Intermountain Healthcare, Inc.",Non-Profit,2022,"Combination of counties, zip codes, and places",Iron,"84720, 84721",Cedar,"Mental Health affecting children and adults, Suicide tied into mental health, Nutrition and Hunger, substance use and Misuse, Aging adults, Chronic diseases associated with unhealthy weight and behaviors affecting physical health in all ages, access to dental care, adverse Childhood experiences and trauma, cost of housing and food insecurity","Improve mental well-being, Improve Chronic & Avoidable Health outcomes, Address & Invest in the social determinants of Health",https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chna-2022/intermountain-healthcare-chna-report-2022.ashx,https://intermountainhealthcare.org/-/media/files/intermountain-health/community-benefit/chis-2023/cedar-city-hospital-2023-chis-report-template.ashx,"mikelle.moore@imail.org, stephanie.stokes@imail.org"
